1920 </s>	<s>
  15 ``	a
  15 <s>	at
  15 ,	she
  15 ,	of
  14 years	ago
  14 when	the
  14 the	federal
  14 the	country
  14 the	$
  14 stock	exchange
  14 many	of
  14 it	will
  14 in	recent
  14 end	of
  14 cray	research
  14 co.	,
  14 chief	executive
  14 but	he
  14 as	well
  14 are	n't
  14 and	chief
  14 a	``
  14 <s>	while
  13 yesterday	,
  13 were	n't
  13 to	help
  13 the	world
  13 the	region
  13 the	end
  13 south	carolina
  13 share	.
  13 scoring	high
  13 says	the
  13 of	an
  13 n't	have
  13 n't	be
  13 million	in
  13 it	.
  13 is	the
  13 in	an
  13 however	,
  13 commonwealth	edison
  13 billion	in
  13 because	of
  13 <s>	she
  13 <s>	as
  13 ,	including
  13 ,	an
  13 )	,
  12 years	,
  12 they	have
  12 the	year
  12 the	past
  12 the	other
  12 the	irs
  12 the	department
  12 some	of
  12 she	says
  12 president	and
  12 plans	to
  12 on	a
  12 mrs.	ward
  12 japan	.
  12 is	that
  12 if	the
  12 have	a
  12 also	said
  12 all	of
  12 ago	,
  12 after	the
  12 <s>	this
  12 :	``
  12 --	the
  12 --	and
  12 ,	with
  12 ,	will
  12 ,	new
  12 ,	mrs.
  12 &	co.
  12 %	to
  12 $	10comma000
  11 york	stock
  11 york	,
  11 years	.
  11 would	have
  11 week	,
  11 under	the
  11 trying	to
  11 to	get
  11 the	school
  11 the	magazine
  11 the	last
  11 the	issue
  11 the	government
  11 that	he
  11 september	.
  11 president	,
  11 of	these
  11 it	would
  11 he	says
  11 have	to
  11 has	n't
  11 for	example
  11 executive	officer
  11 director	of
  11 cray	computer
  11 consented	to
  11 chairman	of
  11 cents	a
  11 billion	.
  11 be	a
  11 based	in
  11 at	least
  11 and	other
  11 <s>	these
  11 <s>	some
  11 <s>	one
  11 <s>	i
  11 ,	vice
  11 ,	some
  11 ,	president
  11 ,	however
  11 ,	fined
  10 york	.
  10 would	n't
  10 was	n't
  10 wanted	to
  10 want	to
  10 trucks	and
  10 to	buy
  10 to	an
  10 the	treasury
  10 the	test
  10 the	number
  10 the	next
  10 the	most
  10 the	firm
  10 the	dollar
  10 the	``
  10 that	are
  10 stock-index	futures
  10 said	they
  10 said	mr.
  10 program	trading
  10 of	their
  10 next	year
  10 may	be
  10 less	than
  10 learning	materials
  10 is	not
  10 is	``
  10 interest	rates
  10 from	a
  10 from	$
  10 expected	to
  10 during	the
  10 designed	to
  10 country	funds
  10 could	n't
  10 company	.
  10 company	,
  10 common	shares
  10 bank	of
  10 a	bottle
  10 ``	there
  10 ?	''
  10 <s>	when
  10 <s>	japan
  10 ,	when
  10 ,	were
  10 ,	to
  10 ,	there
  10 ,	not
  10 ,	down
  10 ,	at
  10 ,	also
  10 ''	a
   9 year	earlier
   9 well	as
   9 u.s.	.
   9 to	take
   9 to	see
   9 to	pay
   9 to	its
   9 to	have
   9 this	week
   9 the	national
   9 the	cray-3
   9 the	average
   9 that	she
   9 that	``
   9 than	the
   9 test	scores
   9 share	,
   9 s&p	500
   9 on	its
   9 of	u.s.
   9 mr.	lane
   9 market	.
   9 light	trucks
   9 japanese	companies
   9 in	its
   9 in	1990
   9 he	is
   9 he	has
   9 fine	and
   9 example	,
   9 declined	to
   9 could	be
   9 construction	spending
   9 comment	.
   9 co	.
   9 by	a
   9 a	lot
   9 ``	in
   9 <s>	so
   9 ,	up
   9 ,	has
   9 ''	in
   9 %	from
   9 $	100
   8 which	has
   8 we	're
   8 was	named
   8 u.s.	trade
   8 trading	.
   8 to	sell
   8 this	is
   8 there	are
   8 the	stock
   8 the	s&p
   8 the	funds
   8 the	economy
   8 that	would
   8 than	$
   8 so	far
   8 sales	of
   8 said	its
   8 rally	's
   8 or	$
   8 officer	,
   8 of	all
   8 october	,
   8 oct.	13
   8 now	,
   8 next	week
   8 new	hampshire
   8 mr.	simmons
   8 months	of
   8 ltd.	,
   8 japan	,
   8 it	,
   8 investment	in
   8 into	the
   8 in	august
   8 he	was
   8 group	,
   8 going	to
   8 failed	to
   8 demand	for
   8 corp.	said
   8 chairman	,
   8 can	be
   8 but	they
   8 but	it
   8 but	in
   8 business	.
   8 billion	,
   8 because	it
   8 be	reached
   8 based	on
   8 and	to
   8 and	that
   8 and	,
   8 all	the
   8 agreed	to
   8 across	the
   8 about	a
   8 a	principal
   8 ``	but
   8 ?	</s>
   8 <s>	there
   8 <s>	on
   8 15comma000	;
   8 .	)
   8 ,	while
   8 ,	where
   8 ,	even
   8 ,	based
   7 years	old
   7 which	is
   7 what	's
   7 we	have
   7 wall	street
   7 up	a
   7 university	of
   7 u.s.	and
   7 u.s.	,
   7 tuesday	.
   7 to	students
   7 to	say
   7 they	do
   7 they	're
   7 there	's
   7 then	,
   7 their	own
   7 the	wine
   7 the	university
   7 the	nation
   7 the	commerce
   7 the	big
   7 the	ad
   7 that	can
   7 than	a
   7 stock	market
   7 she	did
   7 says	mr.
   7 say	the
   7 say	,
   7 sale	of
   7 said	he
   7 rate	of
   7 purchasing	managers
   7 ps	of
   7 out	of
   7 orders	for
   7 ordered	to
   7 of	about
   7 mr.	phelan
   7 mr.	dinkins
   7 mr.	cray
   7 most	of
   7 month	,
   7 minimum	wage
   7 meanwhile	,
   7 lot	of
   7 kind	of
   7 japanese	investors
   7 japanese	investment
   7 is	expected
   7 is	an
   7 in	which
   7 in	washington
   7 in	tokyo
   7 in	this
   7 in	price
   7 in	addition
   7 in	1988
   7 if	they
   7 i	'm
   7 holding	company
   7 he	would
   7 he	did
   7 he	added
   7 have	the
   7 for	its
   7 fla.	,
   7 earlier	this
   7 down	from
   7 dividend	growth
   7 despite	the
   7 department	said
   7 decided	to
   7 commerce	department
   7 calif.	,
   7 ca	n't
   7 as	an
   7 as	``
   7 around	the
   7 are	the
   7 and	mr.
   7 and	its
   7 against	the
   7 a	spokesman
   7 a	number
   7 a	few
   7 ``	this
   7 ``	cosby
   7 <s>	under
   7 <s>	then
   7 <s>	if
   7 <s>	first
   7 <s>	despite
   7 <s>	by
   7 <s>	after
   7 1990	.
   7 1988	,
   7 --	a
   7 ,	though
   7 ,	that
   7 ,	on
   7 ,	had
   7 ,	fla.
   7 ,	calif.
   7 ,	both
   7 ,	although
   7 ,	after
   7 )	.
   7 ''	is
   7 ''	and
   7 $	5comma000
   6 work	force
   6 wo	n't
   6 with	its
   6 will	remain
   6 who	has
   6 whether	the
   6 we	've
   6 way	to
   6 was	a
   6 up	with
   6 up	to
   6 up	the
   6 two	years
   6 trading	companies
   6 to	their
   6 to	mr.
   6 to	her
   6 to	findings
   6 to	do
   6 to	disgorge
   6 they	had
   6 these	days
   6 the	yield
   6 the	two
   6 the	ringers
   6 the	purchase
   6 the	problem
   6 the	previous
   6 the	offer
   6 the	month
   6 the	minimum
   6 the	latest
   6 the	largest
   6 the	dow
   6 the	board
   6 the	bells
   6 the	bank
   6 the	artist
   6 that	they
   6 stake	in
   6 she	had
   6 shares	of
   6 shares	.
   6 september	,
   6 school	's
   6 says	that
   6 says	she
   6 say	that
   6 same	time
   6 result	in
   6 region	.
   6 reached	for
   6 rates	.
   6 purchase	of
   6 prices	.
   6 or	so
   6 of	them
   6 of	mr.
   6 of	japan
   6 of	his
   6 of	health
   6 of	1989
   6 now	.
   6 n't	even
   6 n't	disclosed
   6 mrs.	hills
   6 mr.	trudeau
   6 mr.	bush
   6 matter	.
   6 managers	'
   6 made	a
   6 likely	to
   6 last	month
   6 korea	,
   6 judge	curry
   6 it	said
   6 investments	in
   6 into	a
   6 interstate	banking
   6 interest	in
   6 increase	in
   6 in	one
   6 in	effect
   6 have	n't
   6 has	taken
   6 had	n't
   6 greenville	high
   6 funds	,
   6 form	of
   6 for	their
   6 for	instance
   6 for	comment
   6 for	an
   6 first	time
   6 federal	funding
   6 executive	vice
   6 exchange	composite
   6 dow	jones
   6 disgorge	$
   6 department	's
   6 denying	wrongdoing
   6 days	,
   6 courter	's
   6 cosby	''
   6 corp.	of
   6 containers	'
   6 composite	trading
   6 compared	with
   6 co.	of
   6 big	board
   6 before	the
   6 and	it
   6 and	is
   6 and	$
   6 analysts	say
   6 added	.
   6 access	to
   6 able	to
   6 a	small
   6 a	good
   6 a	full
   6 a	company
   6 a	bill
   6 ``	you
   6 <s>	without
   6 <s>	with
   6 <s>	u.s.
   6 <s>	sales
   6 <s>	new
   6 <s>	many
   6 <s>	japanese
   6 <s>	among
   6 ;	the
   6 50	%
   6 1987	.
   6 12	%
   6 10	billion
   6 ,	one
   6 ,	now
   6 ,	no
   6 ,	japanese
   6 's	not
   6 's	a
   6 ''	the
   6 ''	that
   6 ''	she
   6 ''	of
   6 ''	because
   6 $	50
   6 $	10
   5 wrongdoing	,
   5 without	admitting
   5 will	continue
   5 while	the
   5 which	it
   5 western	union
   5 were	jointly
   5 wants	to
   5 wage	,
   5 vice	chairman
   5 use	of
   5 up	from
   5 treasury	said
   5 trading	,
   5 total	of
   5 today	's
   5 to	win
   5 to	use
   5 to	report
   5 to	raise
   5 to	put
   5 to	japanese
   5 to	give
   5 to	comment
   5 to	china
   5 three	years
   5 they	were
   5 them	to
   5 them	.
   5 the	telephone
   5 the	spinoff
   5 the	sale
   5 the	price
   5 the	president
   5 the	plant
   5 the	matter
   5 the	mark
   5 the	judge
   5 the	house
   5 the	highest
   5 the	guild
   5 the	group
   5 the	fed
   5 the	debt
   5 the	current
   5 the	contract
   5 the	commission
   5 the	chicago
   5 the	case
   5 the	administration
   5 that	we
   5 that	have
   5 that	's
   5 tests	.
   5 test	.
   5 terms	were
   5 take	a
   5 suggested	that
   5 such	a
   5 students	.
   5 students	,
   5 stock	prices
   5 state	's
   5 spokesman	for
   5 southeast	asia
   5 so	,
   5 since	the
   5 should	be
   5 senior	vice
   5 says	it
   5 say	they
   5 savings	institution
   5 san	francisco
   5 said	in
   5 right	to
   5 review	of
   5 recession	.
   5 recent	weeks
   5 program	.
   5 produced	by
   5 prices	,
   5 plan	to
   5 plan	.
   5 or	denying
   5 on	their
   5 office	,
   5 of	watches
   5 of	trading
   5 of	japanese
   5 of	her
   5 of	dollars
   5 of	course
   5 of	asbestos
   5 of	``
   5 not	only
   5 no	one
   5 nixon	,
   5 nation	's
   5 n.y.	,
   5 n.j.	,
   5 mr.	wilder
   5 mr.	courter
   5 mr.	coleman
   5 month	.
   5 million	to
   5 members	of
   5 markets	,
   5 market	,
   5 manager	of
   5 loss	of
   5 lead	to
   5 last	week
   5 jr.	,
   5 jointly	fined
   5 japanese	investments
   5 its	own
   5 it	does
   5 issue	.
   5 is	also
   5 instance	,
   5 in	south
   5 in	may
   5 in	his
   5 in	her
   5 in	dividends
   5 in	cash
   5 in	asia
   5 in	``
   5 in	1991
   5 in	1987
   5 in	1985
   5 ill.	,
   5 if	you
   5 i	was
   5 i	think
   5 i	do
   5 high	school
   5 he	will
   5 he	does
   5 has	to
   5 hampshire	,
   5 half	of
   5 had	to
   5 had	a
   5 growth	in
   5 group	of
   5 government	's
   5 get	a
   5 general	manager
   5 funds	.
   5 force	.
   5 for	years
   5 for	many
   5 for	all
   5 firm	.
   5 expects	to
   5 england	electric
   5 effort	to
   5 earlier	.
   5 drop	in
   5 disclosed	.
   5 country	's
   5 continue	to
   5 concern	.
   5 companies	,
   5 colo.	,
   5 china	's
   5 came	to
   5 but	not
   5 but	i
   5 both	sides
   5 board	of
   5 billion	yen
   5 between	the
   5 before	.
   5 been	a
   5 because	the
   5 august	,
   5 association	of
   5 and	they
   5 and	minivans
   5 and	learning
   5 and	in
   5 an	hour
   5 an	additional
   5 amount	of
   5 among	other
   5 aimed	at
   5 admitting	or
   5 addition	,
   5 account	,
   5 a	total
   5 a	result
   5 a	more
   5 a	major
   5 a	long
   5 a	joint
   5 a	group
   5 ``	what
   5 ``	they
   5 ``	she
   5 ``	if
   5 <s>	what
   5 <s>	we
   5 <s>	terms
   5 <s>	south
   5 <s>	no
   5 <s>	more
   5 <s>	michael
   5 <s>	meanwhile
   5 <s>	last
   5 <s>	john
   5 <s>	however
   5 <s>	commonwealth
   5 <s>	both
   5 <s>	another
   5 <s>	analysts
   5 <s>	although
   5 <s>	also
   5 <s>	all
   5 <s>	--
   5 ;	john
   5 ;	and
   5 3	%
   5 1991	.
   5 15	%
   5 100	a
   5 10	%
   5 ,	you
   5 ,	those
   5 ,	this
   5 ,	such
   5 ,	senior
   5 ,	n.y.
   5 ,	n.j.
   5 ,	mass.
   5 ,	ill.
   5 ,	have
   5 ,	compared
   5 ,	colo.
   5 ,	because
   5 (	$
   5 's	``
   5 %	stake
   5 %	,
   4 you	have
   4 you	can
   4 yield	of
   4 yen	,
   4 yeargin	,
   4 yeargin	's
   4 year	ago
   4 year	's
   4 with	no
   4 willing	to
   4 will	help
   4 white	house
   4 which	was
   4 which	the
   4 where	the
   4 when	they
   4 when	he
   4 well	below
   4 well	.
   4 weeks	.
   4 weeks	,
   4 week	.
   4 wednesday	.
   4 washington	,
   4 was	quoted
   4 was	made
   4 was	an
   4 ward	says
   4 visit	to
   4 used	in
   4 university	.
   4 unit	of
   4 unit	.
   4 under	which
   4 u.s.	news
   4 u.s.	is
   4 u.s.	currency
   4 types	of
   4 transplants	.
   4 trading	yesterday
   4 trading	at
   4 traded	on
   4 trade	and
   4 tower	,
   4 to	watch
   4 to	seek
   4 to	keep
   4 to	it
   4 to	improve
   4 to	extend
   4 to	cut
   4 to	close
   4 to	build
   4 to	acquire
   4 to	``
   4 time	.
   4 through	the
   4 this	fall
   4 they	will
   4 they	say
   4 there	have
   4 the	white
   4 the	week
   4 the	way
   4 the	underlying
   4 the	total
   4 the	third
   4 the	strong
   4 the	show
   4 the	securities
   4 the	screen
   4 the	right
   4 the	rest
   4 the	report
   4 the	refund
   4 the	questions
   4 the	purchasing
   4 the	philippines
   4 the	nasd
   4 the	man
   4 the	london
   4 the	limit
   4 the	legislation
   4 the	justice
   4 the	index
   4 the	idea
   4 the	general
   4 the	former
   4 the	form
   4 the	following
   4 the	deal
   4 the	companies
   4 the	city
   4 the	church
   4 the	answers
   4 the	american
   4 that	sea
   4 that	a
   4 tests	are
   4 terms	of
   4 tender	offer
   4 talks	with
   4 talks	,
   4 taiwan	and
   4 students	in
   4 stocks	in
   4 stock	,
   4 state	department
   4 standard	&
   4 spokesman	declined
   4 southeast	asian
   4 source	of
   4 so	that
   4 six	months
   4 since	early
   4 sidewalk	stories
   4 shares	outstanding
   4 series	of
   4 september	to
   4 seems	to
   4 school	.
   4 school	,
   4 says	mrs.
   4 says	john
   4 says	a
   4 role	in
   4 return	on
   4 result	,
   4 research	.
   4 report	,
   4 related	to
   4 refused	to
   4 recent	years
   4 rates	,
   4 quoted	at
   4 principal	of
   4 president	bush
   4 portfolio	managers
   4 pop	radio
   4 poor	's
   4 plant	.
   4 philippines	and
   4 period	.
   4 percentage	of
   4 pay	for
   4 pay	,
   4 part	,
   4 owns	about
   4 out	.
   4 or	two
   4 only	a
   4 one	yen
   4 one	,
   4 old	,
   4 officials	said
   4 offer	.
   4 off	the
   4 of	women
   4 of	us
   4 of	some
   4 of	scoring
   4 of	program
   4 of	pennsylvania
   4 of	federal
   4 of	bells
   4 of	any
   4 notes	,
   4 noted	,
   4 not	to
   4 nonexecutive	director
   4 none	of
   4 no	longer
   4 nine	months
   4 next	spring
   4 news	conference
   4 new	york-based
   4 new	orleans
   4 new	jersey
   4 new	company
   4 net	loss
   4 net	income
   4 national	association
   4 n't	think
   4 n't	elaborate
   4 n't	been
   4 n't	any
   4 much	of
   4 mr.	stronach
   4 mr.	katzenstein
   4 morgan	stanley
   4 months	.
   4 months	,
   4 million	of
   4 million	from
   4 may	,
   4 mass.	,
   4 market	is
   4 maker	of
   4 magazine	,
   4 look	at
   4 loans	.
   4 level	of
   4 led	by
   4 late	tuesday
   4 lane	's
   4 known	as
   4 justice	department
   4 johnson	&
   4 its	bid
   4 its	$
   4 it	plans
   4 it	for
   4 it	expects
   4 it	could
   4 it	bid
   4 it	also
   4 issues	.
   4 issues	,
   4 is	one
   4 is	no
   4 is	in
   4 is	$
   4 investors	.
   4 interested	in
   4 information	about
   4 industrial	average
   4 indicated	that
   4 index	arbitrage
   4 indeed	,
   4 inc.	said
   4 inc.	and
   4 inc.	's
   4 in	u.s.
   4 in	their
   4 in	part
   4 in	most
   4 in	malaysia
   4 in	july
   4 in	interest
   4 in	any
   4 ii	,
   4 i	have
   4 hong	kong
   4 higher	prices
   4 high	and
   4 heritage	media
   4 heights	,
   4 he	had
   4 he	's
   4 have	much
   4 growth	,
   4 group	inc.
   4 government	,
   4 goldman	sachs
   4 giant	group
   4 futures	contract
   4 found	that
   4 for	several
   4 for	each
   4 five	years
   4 first	nine
   4 first	,
   4 firm	,
   4 fine	;
   4 fine	.
   4 finance	ministry
   4 fewer	than
   4 fetal-tissue	transplants
   4 federal	reserve
   4 fact	that
   4 exchange	.
   4 england	's
   4 edison	's
   4 duty-free	treatment
   4 dinkins	,
   4 debt	ceiling
   4 days	.
   4 criminal	defense
   4 course	,
   4 country	,
   4 corp.	's
   4 corp	.
   4 contract	for
   4 conn.	,
   4 concern	,
   4 completed	the
   4 complete	the
   4 company	in
   4 companies	have
   4 companies	are
   4 commercial	,
   4 co.	and
   4 city	,
   4 circuit	breaker
   4 chaplin	's
   4 cents	.
   4 cases	,
   4 cars	.
   4 canada	,
   4 can	pay
   4 can	do
   4 campbell	soup
   4 but	there
   4 but	,
   4 business	and
   4 bush	administration
   4 bottle	.
   4 board	.
   4 billion	of
   4 below	the
   4 bells	,
   4 because	they
   4 became	a
   4 be	the
   4 barred	from
   4 banks	are
   4 banks	.
   4 bank	,
   4 at	his
   4 at	all
   4 asian	nations
   4 as	they
   4 as	many
   4 argue	that
   4 are	not
   4 are	no
   4 approve	of
   4 apple	ii
   4 appears	to
   4 and	william
   4 and	vans
   4 and	then
   4 and	their
   4 and	parents
   4 and	japan
   4 and	i
   4 and	has
   4 and	30-day
   4 an	official
   4 an	average
   4 an	american
   4 although	the
   4 also	,
   4 all	.
   4 ago	.
   4 acquisition	of
   4 achievement	test
   4 account	for
   4 about	this
   4 about	it
   4 a	young
   4 a	way
   4 a	transaction
   4 a	teacher
   4 a	slowing
   4 a	series
   4 a	point
   4 a	package
   4 a	nonexecutive
   4 a	higher
   4 a	growing
   4 a	great
   4 a	form
   4 ``	very
   4 ``	to
   4 ``	sidewalk
   4 ``	an
   4 <s>	to
   4 <s>	such
   4 <s>	stephen
   4 <s>	since
   4 <s>	several
   4 <s>	says
   4 <s>	not
   4 <s>	her
   4 <s>	from
   4 <s>	even
   4 <s>	each
   4 <s>	cray
   4 <s>	according
   4 <s>	about
   4 <s>	(
   4 90	days
   4 9	%
   4 5comma000	and
   4 500	stock-index
   4 5/8	to
   4 30-day	suspension
   4 3/4	to
   4 1990	,
   4 1986	,
   4 15	,
   4 10comma000	fine
   4 10	years
   4 1	%
   4 --	to
   4 --	are
   4 ,	u.s.
   4 ,	time
   4 ,	south
   4 ,	so
   4 ,	saying
   4 ,	ordered
   4 ,	mich.
   4 ,	many
   4 ,	james
   4 ,	its
   4 ,	i
   4 ,	conn.
   4 )	</s>
   4 's	the
   4 's	mr.
   4 's	economic
   4 's	construction
   4 's	big
   4 ''	(
   4 '	report
   4 &	poor
   4 &	johnson
   4 &	co
   4 %	and
   4 $	90
   4 $	70
   4 $	55
   4 $	30comma000
   4 $	30
   4 $	2comma500
   4 $	25comma000
   4 $	250
   3 your	oct.
   3 york	city
   3 yield	on
   3 yesterday	's
   3 yen	to
   3 yen	(
   3 years	in
   3 years	--
   3 yeargin	was
   3 yeargin	says
   3 year	to
   3 year	or
   3 year	--
   3 would	remain
   3 world	war
   3 world	.
   3 world	,
   3 workers	at
   3 won	a
   3 women	.
   3 without	the
   3 with	his
   3 wine	is
   3 will	happen
   3 will	begin
   3 will	become
   3 wild	sheep
   3 why	the
   3 who	is
   3 who	heads
   3 who	have
   3 who	had
   3 who	are
   3 who	's
   3 which	owns
   3 where	noted
   3 where	a
   3 when	a
   3 what	she
   3 were	a
   3 went	to
   3 well	over
   3 we	feel
   3 we	do
   3 way	for
   3 was	the
   3 ward	,
   3 war	ii
   3 wants	the
   3 wa	''
   3 w.r.	grace
   3 volume	of
   3 voice	.
   3 violations	of
   3 violations	.
   3 violate	the
   3 valued	at
   3 value	of
   3 value	.
   3 used	to
   3 use	the
   3 us	.
   3 up	in
   3 up	.
   3 united	illuminating
   3 unfair	prices
   3 under	its
   3 under	a
   3 u.s.	investors
   3 u.s.	government
   3 u.s.	firms
   3 u.s.	embassy
   3 two	weeks
   3 two	days
   3 tv	stations
   3 tuesday	,
   3 tried	to
   3 treatment	for
   3 treasury	secretary
   3 treasury	bills
   3 transactions	,
   3 training	wage
   3 trading	in
   3 trade	representative
   3 trade	.
   3 took	place
   3 tokyo	's
   3 today	.
   3 today	,
   3 to	ring
   3 to	return
   3 to	protect
   3 to	prevent
   3 to	pass
   3 to	negotiate
   3 to	meet
   3 to	mature
   3 to	lift
   3 to	join
   3 to	issue
   3 to	impose
   3 to	grant
   3 to	go
   3 to	foreign
   3 to	find
   3 to	file
   3 to	ease
   3 to	discuss
   3 to	consider
   3 to	complete
   3 to	choose
   3 to	bring
   3 to	avoid
   3 to	act
   3 to	about
   3 to	10
   3 times	the
   3 time	magazine
   3 through	a
   3 three	of
   3 third	quarter
   3 think	it
   3 they	may
   3 they	consented
   3 they	can
   3 they	also
   3 there	may
   3 there	has
   3 them	in
   3 them	,
   3 the	yen
   3 the	year-earlier
   3 the	work
   3 the	wage
   3 the	unit
   3 the	union
   3 the	trading
   3 the	tower
   3 the	time
   3 the	talks
   3 the	system
   3 the	survey
   3 the	student
   3 the	strike
   3 the	streets
   3 the	stocks
   3 the	sound
   3 the	small
   3 the	size
   3 the	senate
   3 the	second
   3 the	sec
   3 the	road
   3 the	risks
   3 the	rights
   3 the	recent
   3 the	real
   3 the	programs
   3 the	program-trading
   3 the	program
   3 the	premiere
   3 the	potential
   3 the	overall
   3 the	only
   3 the	notes
   3 the	nih
   3 the	negative
   3 the	more
   3 the	merc
   3 the	manufacturing
   3 the	main
   3 the	lowest
   3 the	letters
   3 the	leading
   3 the	law
   3 the	investment
   3 the	illinois
   3 the	globe
   3 the	future
   3 the	five
   3 the	fields
   3 the	field
   3 the	fact
   3 the	face
   3 the	exchange
   3 the	environment
   3 the	english
   3 the	economic
   3 the	early
   3 the	drop
   3 the	door
   3 the	defense
   3 the	compromise
   3 the	competition
   3 the	common
   3 the	commodity
   3 the	central
   3 the	ceiling
   3 the	business
   3 the	broader
   3 the	biggest
   3 the	bids
   3 the	bidding
   3 the	belfry
   3 the	ban
   3 the	announcement
   3 the	400
   3 the	1987
   3 that	year
   3 that	some
   3 that	many
   3 that	japanese
   3 that	japan
   3 that	is
   3 that	has
   3 that	cray
   3 that	could
   3 than	three
   3 than	those
   3 than	they
   3 than	six
   3 than	in
   3 thailand	,
   3 test	of
   3 test	and
   3 test	,
   3 telephone	business
   3 talks	about
   3 talk	about
   3 t.	rowe
   3 system	for
   3 suspension	.
   3 supreme	court
   3 students	and
   3 students	'
   3 stocks	,
   3 stock	of
   3 stock	and
   3 still	,
   3 stearn	,
   3 state	university
   3 standards	.
   3 standardized	achievement
   3 stag	's
   3 st.	mary
   3 st.	louis
   3 spring	.
   3 spokesman	said
   3 spokesman	.
   3 spending	on
   3 speculated	that
   3 sound	of
   3 sort	of
   3 soon	,
   3 some	market
   3 software	and
   3 so	the
   3 small	u.s.
   3 small	business
   3 size	of
   3 six-month	suspension
   3 simmons	and
   3 signs	that
   3 sign	of
   3 should	have
   3 sheep	chase
   3 shearson	lehman
   3 she	said
   3 shares	closed
   3 share	prices
   3 share	of
   3 set	in
   3 services	.
   3 sell	$
   3 securities	to
   3 securities	corp.
   3 securities	and
   3 securities	,
   3 sector	is
   3 seats	on
   3 scores	.
   3 scores	,
   3 school	of
   3 scheduled	for
   3 says	richard
   3 say	.
   3 saudi	arabia
   3 sales	in
   3 said	a
   3 ruling	,
   3 rowe	price
   3 roederer	cristal
   3 rockefeller	group
   3 rise	in
   3 ringers	.
   3 ringers	,
   3 results	.
   3 responses	)
   3 research	corp.
   3 research	and
   3 research	,
   3 representative	carla
   3 reported	a
   3 reorganization	plan
   3 remain	on
   3 remain	in
   3 relative	to
   3 relations	,
   3 referred	to
   3 recent	months
   3 recent	japanese
   3 reason	:
   3 rather	than
   3 rape	victims
   3 quickly	.
   3 questions	in
   3 questions	and
   3 questions	.
   3 question	of
   3 quarterly	dividend
   3 quarter	,
   3 put	in
   3 public	's
   3 providing	the
   3 provided	by
   3 program	to
   3 profits	and
   3 producer	and
   3 prime	minister
   3 prices	for
   3 price	of
   3 pressure	on
   3 president	.
   3 president	's
   3 preferred	stock
   3 poore	,
   3 points	,
   3 plant	in
   3 planned	to
   3 pictures	entertainment
   3 percentage	point
   3 people	who
   3 people	.
   3 people	,
   3 people	's
   3 partly	because
   3 parent	,
   3 pages	,
   3 outstanding	.
   3 out	the
   3 out	in
   3 out	a
   3 other	countries
   3 orleans	,
   3 organization	.
   3 or	to
   3 or	the
   3 or	even
   3 operator	said
   3 one-year	suspension
   3 on	tuesday
   3 on	an
   3 official	said
   3 officer	of
   3 office	.
   3 offered	to
   3 offer	for
   3 offer	,
   3 off	.
   3 of	those
   3 of	t.
   3 of	south
   3 of	small
   3 of	ringers
   3 of	record
   3 of	recent
